Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,1990,,Les Maskoutains,,Wetland:Open->Urban [Type],1.584,,,,,
,1990,,Longueuil,,Agriculture->Urban [Type],65.349,,,,,
,1990,,Longueuil,,Forest->Agriculture,20.124,,,,,
,1990,,Longueuil,,Forest->Urban,40.599,,,,,
,1990,,Longueuil,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Longueuil,,Wetland:Forested->Urban [Type],2.592,,,,,
,1990,,Longueuil,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Longueuil,,Wetland:Open->Urban [Type],4.356,,,,,
,1990,,Marguerite-D'Youville,,Agriculture->Urban [Type],26.856,,,,,
,1990,,Marguerite-D'Youville,,Forest->Agriculture,14.49,,,,,
,1990,,Marguerite-D'Youville,,Forest->Urban,13.311,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Forested->Agriculture [Type],0.009,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Forested->Urban [Type],2.367,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Open->Urban [Type],2.907,,,,,
,1990,,Pierre-De Saurel,,Agriculture->Urban [Type],14.904,,,,,
,1990,,Pierre-De Saurel,,Forest->Agriculture,57.357,,,,,
,1990,,Pierre-De Saurel,,Forest->Urban,28.917,,,,,
,1990,,Pierre-De Saurel,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Pierre-De Saurel,,Wetland:Forested->Urban [Type],3.213,,,,,
,1990,,Pierre-De Saurel,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Pierre-De Saurel,,Wetland:Open->Urban [Type],3.987,,,,,
,1990,,Roussillon,,Agriculture->Urban [Type],42.633,,,,,
,1990,,Roussillon,,Forest->Agriculture,28.161,,,,,
,1990,,Roussillon,,Forest->Urban,32.499,,,,,
,1990,,Roussillon,,Wetland:Forested->Agriculture [Type],0.018,,,,,
,1990,,Roussillon,,Wetland:Forested->Urban [Type],5.958,,,,,
,1990,,Roussillon,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Roussillon,,Wetland:Open->Urban [Type],4.338,,,,,
,1990,,Rouville,,Agriculture->Urban [Type],6.066,,,,,
,1990,,Rouville,,Forest->Agriculture,73.665,,,,,
,1990,,Rouville,,Forest->Urban,4.059,,,,,
,1990,,Rouville,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Rouville,,Wetland:Forested->Urban [Type],0.45,,,,,
,1990,,Rouville,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Rouville,,Wetland:Open->Urban [Type],0.486,,,,,
,1990,,Vaudreuil-Soulanges,,Agriculture->Urban [Type],56.151,,,,,
,1990,,Vaudreuil-Soulanges,,Forest->Agriculture,35.181,,,,,
,1990,,Vaudreuil-Soulanges,,Forest->Urban,50.076,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Forested->Urban [Type],6.597,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Open->Agriculture [Type],0.018,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Open->Urban [Type],5.22,,,,,
,2000,,Acton,,Agriculture->Urban [Type],12.924,,,,,
,2000,,Acton,,Forest->Agriculture,4.419,,,,,
,2000,,Acton,,Forest->Urban,6.21,,,,,
,2000,,Acton,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Acton,,Wetland:Forested->Urban [Type],0.189,,,,,
,2000,,Acton,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Acton,,Wetland:Open->Urban [Type],0.369,,,,,
,2000,,Autres,,Agriculture->Urban [Type],1.485,,,,,
,2000,,Autres,,Forest->Agriculture,0.099,,,,,
,2000,,Autres,,Forest->Urban,2.412,,,,,
,2000,,Autres,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Autres,,Wetland:Forested->Urban [Type],0.495,,,,,
,2000,,Autres,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Autres,,Wetland:Open->Urban [Type],1.422,,,,,
,2000,,Beauharnois-Salaberry,,Agriculture->Urban [Type],38.547,,,,,
,2000,,Beauharnois-Salaberry,,Forest->Agriculture,1.233,,,,,
,2000,,Beauharnois-Salaberry,,Forest->Urban,7.515,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Forested->Agriculture [Type],0,,,,,
