Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest:Deciduous Old,,Forest:Mixed Old,,,Forest:Deciduous Old->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Deciduous Old,,Forest:Mixed Young,,,Forest:Deciduous Old->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Deciduous Old,,Urban:All,,,Forest:Deciduous Old->Urban,1,,,,,,,,
,,,Forest:Deciduous Young,,Agriculture:All,,,Forest:Deciduous Young->Agriculture,1,,,,,,,,
,,,Forest:Deciduous Young,,Forest:Coniferous Medium,,,Forest:Deciduous Young->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Coniferous Old,,,Forest:Deciduous Young->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Coniferous Young,,,Forest:Deciduous Young->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Deciduous Medium,,,Forest:Deciduous Young->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Deciduous Old,,,Forest:Deciduous Young->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Mixed Medium,,,Forest:Deciduous Young->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Mixed Old,,,Forest:Deciduous Young->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Deciduous Young,,Forest:Mixed Young,,,Forest:Deciduous Young->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Deciduous Young,,Urban:All,,,Forest:Deciduous Young->Urban,1,,,,,,,,
,,,Forest:Mixed Medium,,Agriculture:All,,,Forest:Mixed Medium->Agriculture,1,,,,,,,,
,,,Forest:Mixed Medium,,Forest:Coniferous Medium,,,Forest:Mixed Medium->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Coniferous Old,,,Forest:Mixed Medium->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Coniferous Young,,,Forest:Mixed Medium->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Deciduous Medium,,,Forest:Mixed Medium->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Deciduous Old,,,Forest:Mixed Medium->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Deciduous Young,,,Forest:Mixed Medium->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Mixed Old,,,Forest:Mixed Medium->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Mixed Medium,,Forest:Mixed Young,,,Forest:Mixed Medium->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Mixed Medium,,Urban:All,,,Forest:Mixed Medium->Urban,1,,,,,,,,
,,,Forest:Mixed Old,,Agriculture:All,,,Forest:Mixed Old->Agriculture,1,,,,,,,,
,,,Forest:Mixed Old,,Forest:Coniferous Medium,,,Forest:Mixed Old->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Coniferous Old,,,Forest:Mixed Old->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Coniferous Young,,,Forest:Mixed Old->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Deciduous Medium,,,Forest:Mixed Old->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Deciduous Old,,,Forest:Mixed Old->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Deciduous Young,,,Forest:Mixed Old->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Mixed Medium,,,Forest:Mixed Old->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Mixed Old,,Forest:Mixed Young,,,Forest:Mixed Old->Forest:Mixed Young,1,,,,,,20,,
,,,Forest:Mixed Old,,Urban:All,,,Forest:Mixed Old->Urban,1,,,,,,,,
,,,Forest:Mixed Young,,Agriculture:All,,,Forest:Mixed Young->Agriculture,1,,,,,,,,
,,,Forest:Mixed Young,,Forest:Coniferous Medium,,,Forest:Mixed Young->Forest:Coniferous Medium,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Coniferous Old,,,Forest:Mixed Young->Forest:Coniferous Old,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Coniferous Young,,,Forest:Mixed Young->Forest:Coniferous Young,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Deciduous Medium,,,Forest:Mixed Young->Forest:Deciduous Medium,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Deciduous Old,,,Forest:Mixed Young->Forest:Deciduous Old,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Deciduous Young,,,Forest:Mixed Young->Forest:Deciduous Young,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Mixed Medium,,,Forest:Mixed Young->Forest:Mixed Medium,1,,,,,,20,,
,,,Forest:Mixed Young,,Forest:Mixed Old,,,Forest:Mixed Young->Forest:Mixed Old,1,,,,,,20,,
,,,Forest:Mixed Young,,Urban:All,,,Forest:Mixed Young->Urban,1,,,,,,,,
,,,Wetland:Forested,,Agriculture:All,,,Wetland:Forested->Agriculture,1,,,,,,,,
,,,Wetland:Forested,,Urban:All,,,Wetland:Forested->Urban,1,,,,,,,,
,,,Wetland:Open,,Agriculture:All,,,Wetland:Open->Agriculture,1,,,,,,,,
,,,Wetland:Open,,Urban:All,,,Wetland:Open->Urban,1,,,,,,,,
