Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,1990,,Les Maskoutains,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Les Maskoutains,,Wetland:Open->Urban [Type],0.792,,,,,
,1990,,Longueuil,,Agriculture->Urban [Type],32.6745,,,,,
,1990,,Longueuil,,Forest->Agriculture,20.124,,,,,
,1990,,Longueuil,,Forest->Urban,20.2995,,,,,
,1990,,Longueuil,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Longueuil,,Wetland:Forested->Urban [Type],1.296,,,,,
,1990,,Longueuil,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Longueuil,,Wetland:Open->Urban [Type],2.178,,,,,
,1990,,Marguerite-D'Youville,,Agriculture->Urban [Type],13.428,,,,,
,1990,,Marguerite-D'Youville,,Forest->Agriculture,14.49,,,,,
,1990,,Marguerite-D'Youville,,Forest->Urban,6.6555,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Forested->Agriculture [Type],0.009,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Forested->Urban [Type],1.1835,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Marguerite-D'Youville,,Wetland:Open->Urban [Type],1.4535,,,,,
,1990,,Pierre-De Saurel,,Agriculture->Urban [Type],7.452,,,,,
,1990,,Pierre-De Saurel,,Forest->Agriculture,57.357,,,,,
,1990,,Pierre-De Saurel,,Forest->Urban,14.4585,,,,,
,1990,,Pierre-De Saurel,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Pierre-De Saurel,,Wetland:Forested->Urban [Type],1.6065,,,,,
,1990,,Pierre-De Saurel,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Pierre-De Saurel,,Wetland:Open->Urban [Type],1.9935,,,,,
,1990,,Roussillon,,Agriculture->Urban [Type],21.3165,,,,,
,1990,,Roussillon,,Forest->Agriculture,28.161,,,,,
,1990,,Roussillon,,Forest->Urban,16.2495,,,,,
,1990,,Roussillon,,Wetland:Forested->Agriculture [Type],0.018,,,,,
,1990,,Roussillon,,Wetland:Forested->Urban [Type],2.979,,,,,
,1990,,Roussillon,,Wetland:Open->Agriculture [Type],0.009,,,,,
,1990,,Roussillon,,Wetland:Open->Urban [Type],2.169,,,,,
,1990,,Rouville,,Agriculture->Urban [Type],3.033,,,,,
,1990,,Rouville,,Forest->Agriculture,73.665,,,,,
,1990,,Rouville,,Forest->Urban,2.0295,,,,,
,1990,,Rouville,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Rouville,,Wetland:Forested->Urban [Type],0.225,,,,,
,1990,,Rouville,,Wetland:Open->Agriculture [Type],0,,,,,
,1990,,Rouville,,Wetland:Open->Urban [Type],0.243,,,,,
,1990,,Vaudreuil-Soulanges,,Agriculture->Urban [Type],28.0755,,,,,
,1990,,Vaudreuil-Soulanges,,Forest->Agriculture,35.181,,,,,
,1990,,Vaudreuil-Soulanges,,Forest->Urban,25.038,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Forested->Agriculture [Type],0,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Forested->Urban [Type],3.2985,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Open->Agriculture [Type],0.018,,,,,
,1990,,Vaudreuil-Soulanges,,Wetland:Open->Urban [Type],2.61,,,,,
,2000,,Acton,,Agriculture->Urban [Type],6.462,,,,,
,2000,,Acton,,Forest->Agriculture,4.419,,,,,
,2000,,Acton,,Forest->Urban,3.105,,,,,
,2000,,Acton,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Acton,,Wetland:Forested->Urban [Type],0.0945,,,,,
,2000,,Acton,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Acton,,Wetland:Open->Urban [Type],0.1845,,,,,
,2000,,Autres,,Agriculture->Urban [Type],0.7425,,,,,
,2000,,Autres,,Forest->Agriculture,0.099,,,,,
,2000,,Autres,,Forest->Urban,1.206,,,,,
,2000,,Autres,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Autres,,Wetland:Forested->Urban [Type],0.2475,,,,,
,2000,,Autres,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Autres,,Wetland:Open->Urban [Type],0.711,,,,,
,2000,,Beauharnois-Salaberry,,Agriculture->Urban [Type],19.2735,,,,,
,2000,,Beauharnois-Salaberry,,Forest->Agriculture,1.233,,,,,
,2000,,Beauharnois-Salaberry,,Forest->Urban,3.7575,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Forested->Urban [Type],0.81,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Open->Urban [Type],0.882,,,,,
,2000,,Brome-Missisquoi,,Agriculture->Urban [Type],20.763,,,,,
,2000,,Brome-Missisquoi,,Forest->Agriculture,11.907,,,,,
,2000,,Brome-Missisquoi,,Forest->Urban,53.7075,,,,,
,2000,,Brome-Missisquoi,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Brome-Missisquoi,,Wetland:Forested->Urban [Type],0.7065,,,,,
,2000,,Brome-Missisquoi,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Brome-Missisquoi,,Wetland:Open->Urban [Type],0.7335,,,,,
,2000,,La Haute-Yamaska,,Agriculture->Urban [Type],15.4305,,,,,
,2000,,La Haute-Yamaska,,Forest->Agriculture,5.859,,,,,
,2000,,La Haute-Yamaska,,Forest->Urban,51.624,,,,,
,2000,,La Haute-Yamaska,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,La Haute-Yamaska,,Wetland:Forested->Urban [Type],0.1575,,,,,
