Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,StateClassID,TransitionAttributeTypeID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Natural Habitat->Agriculture,,Natural Area Conversion,,,,,,1,,,,,
,,,,,Natural Habitat->Urban,,Natural Area Conversion,,,,,,1,,,,,
